"seq" "sex" "dob_yy" "dob_mm" "dob_dd" "reg" "state" "helpertype" "helperpresent" "time"
"318" 370 1 26 9 18 9 1 0 0 1982
"319" 372 2 33 1 30 9 1 0 0 1982
"320" 374 2 19 8 26 8 10 0 0 1982
"321" 375 2 25 5 9 6 18 0 0 1982
"322" 376 1 25 12 27 10 11 11 1 1982
"323" 377 2 28 7 9 0 11 21 1 1982
"324" 379 2 27 2 2 8 10 0 0 1982
"325" 380 2 33 6 6 10 36 0 0 1982
"326" 381 1 25 3 1 10 36 0 0 1982
"327" 382 2 27 5 18 10 36 0 0 1982
"328" 383 1 22 9 5 10 36 0 0 1982
"329" 384 2 22 3 17 10 36 0 0 1982
"330" 385 2 29 6 18 10 36 0 0 1982
"331" 386 2 33 4 26 10 36 0 0 1982
"332" 387 1 33 1 9 10 36 0 0 1982
"333" 390 1 32 8 1 10 36 0 0 1982
"334" 391 1 7 9 3 10 36 0 0 1982
"335" 394 1 26 4 30 10 36 0 0 1982
"336" 395 2 23 1 2 10 36 0 0 1982
"337" 397 2 31 6 28 6 16 0 0 1982
"338" 398 2 20 5 4 6 16 0 0 1982
"339" 399 1 25 4 5 6 16 11 1 1982
"340" 400 2 13 3 29 6 16 0 0 1982
"341" 401 2 28 10 15 6 16 0 0 1982
"342" 402 2 22 5 11 6 16 0 0 1982
"343" 403 1 24 8 10 6 8 0 0 1982
"344" 404 1 18 1 12 6 8 11 1 1982
"345" 407 1 25 11 4 12 39 24 1 1982
"346" 408 1 33 8 30 6 8 0 0 1982
"347" 410 1 33 12 16 6 18 0 0 1982
"348" 411 1 20 4 17 12 39 14 1 1982
"349" 414 1 25 11 15 11 43 11 1 1982
"350" 415 2 33 9 11 6 18 0 0 1982
"351" 417 1 30 4 7 11 27 11 1 1982
"352" 418 2 32 12 31 11 27 0 0 1982
"353" 423 1 33 11 26 11 20 0 0 1982
"354" 424 2 29 6 3 11 20 0 0 1982
"355" 425 1 25 2 15 10 36 0 0 1982
"356" 426 2 28 9 5 11 22 0 0 1982
"357" 428 1 16 9 30 7 5 0 0 1982
"358" 429 2 23 3 30 11 43 0 0 1982
"359" 430 1 30 8 5 11 43 11 1 1982
"360" 431 1 26 8 13 11 43 0 0 1982
"361" 432 1 28 2 20 11 43 0 0 1982
"362" 433 2 31 7 20 11 43 0 0 1982
"363" 434 2 29 7 18 11 43 0 0 1982
"364" 435 2 30 7 15 11 44 0 0 1982
"365" 436 2 25 6 1 11 22 11 1 1982
"366" 437 1 29 2 29 11 43 0 0 1982
"367" 438 2 19 10 7 11 44 0 0 1982
"368" 439 2 31 2 27 11 44 11 1 1982
"369" 440 1 33 8 16 9 2 0 0 1982
"370" 441 1 26 11 15 11 43 0 0 1982
"371" 442 2 19 11 17 11 43 11 1 1982
"372" 443 1 30 7 23 11 22 0 0 1982
"373" 446 1 28 9 10 7 39 0 0 1982
"374" 447 1 30 9 10 7 30 0 0 1982
"375" 449 1 32 6 21 10 36 0 0 1982
"376" 450 2 23 1 17 7 39 0 0 1982
"377" 451 1 33 1 18 11 22 0 0 1982
"378" 453 1 26 11 12 7 39 11 1 1982
"379" 454 2 31 1 16 7 39 0 0 1982
"380" 457 1 30 7 24 7 39 0 0 1982
"381" 458 2 21 12 6 12 39 0 0 1982
"382" 460 2 32 9 26 12 39 0 0 1982
"383" 461 1 29 4 6 7 40 0 0 1982
"384" 462 2 21 7 31 8 13 14 1 1982
"385" 464 2 28 2 28 4 28 0 0 1982
"386" 466 1 29 10 29 10 36 0 0 1982
"387" 467 2 26 11 25 7 39 0 0 1982
"388" 469 1 19 5 28 12 39 11 1 1982
"389" 470 2 27 10 27 7 30 0 0 1982
"390" 471 1 24 1 18 7 39 0 0 1982
"391" 472 1 24 1 13 10 36 25 1 1982
"392" 473 2 33 6 4 7 39 0 0 1982
"393" 475 2 33 11 25 7 39 0 0 1982
"394" 476 1 16 6 7 7 39 0 0 1982
"395" 477 1 34 1 22 11 22 0 0 1982
"396" 478 2 20 6 21 7 39 0 0 1982
"397" 479 2 19 6 30 6 16 15 1 1982
"398" 480 1 25 5 1 7 40 0 0 1982
"399" 481 1 22 4 22 6 16 0 0 1982
"400" 482 2 24 1 16 11 27 0 0 1982
"401" 484 2 31 10 8 7 40 0 0 1982
"402" 486 1 32 3 6 11 27 0 0 1982
"403" 487 2 32 9 27 6 18 0 0 1982
"404" 489 2 28 5 6 6 18 0 0 1982
"405" 490 2 26 4 11 6 18 0 0 1982
"406" 491 2 22 3 12 6 18 0 0 1982
"407" 492 1 25 3 19 10 36 0 0 1982
"408" 493 1 28 10 18 10 36 0 0 1982
"409" 495 2 24 1 30 6 18 0 0 1982
"410" 496 2 24 9 29 10 36 0 0 1982
"411" 497 2 28 8 7 6 18 0 0 1982
"412" 498 2 14 4 7 6 18 26 1 1982
"413" 500 2 30 11 13 10 36 0 0 1982
"414" 501 2 26 9 8 10 36 0 0 1982
"415" 502 2 28 2 3 10 11 0 0 1982
"416" 503 2 23 11 22 10 36 0 0 1982
"417" 504 2 27 12 14 10 36 0 0 1982
"418" 505 2 33 3 18 10 36 0 0 1982
"419" 506 2 23 8 25 9 35 0 0 1982
"420" 507 1 17 5 30 8 10 11 1 1982
"421" 508 2 27 7 14 9 35 0 0 1982
"422" 509 1 19 1 23 9 35 0 0 1982
"423" 510 2 26 8 4 9 35 0 0 1982
"424" 511 1 31 1 31 9 2 0 0 1982
"425" 512 1 18 2 7 9 3 0 0 1982
"426" 513 1 20 7 15 9 35 0 0 1982
"427" 514 1 28 5 14 8 34 11 1 1982
"428" 515 2 16 3 19 8 34 0 0 1982
"429" 516 2 15 4 7 0 26 0 0 1982
"430" 517 1 22 1 14 9 35 0 0 1982
"431" 518 1 16 9 20 8 10 0 0 1982
"432" 519 2 26 12 12 9 35 15 1 1982
"433" 520 2 25 11 30 9 35 0 0 1982
"434" 521 2 30 3 21 4 28 15 1 1982
"435" 522 2 26 8 24 3 13 0 0 1982
"436" 524 2 26 8 23 1 12 0 0 1982
"437" 525 2 34 5 28 1 12 0 0 1982
"438" 526 2 18 2 7 1 14 21 1 1982
"439" 527 1 26 2 6 4 28 0 0 1982
"440" 529 1 24 12 14 4 28 0 0 1982
"441" 530 2 20 1 7 2 24 0 0 1982
"442" 531 2 32 3 14 12 39 0 0 1982
"443" 532 1 24 11 24 3 24 0 0 1982
"444" 533 1 25 10 14 2 24 0 0 1982
"445" 535 1 20 6 10 12 39 0 0 1982
"446" 536 2 25 2 6 7 39 23 1 1982
"447" 537 1 22 11 7 6 42 0 0 1982
"448" 538 2 28 7 10 7 40 0 0 1982
"449" 539 2 31 1 15 9 2 11 1 1982
"450" 540 2 15 10 10 4 15 21 1 1982
"451" 541 1 21 10 20 6 16 0 0 1982
"452" 542 2 26 6 24 11 22 0 0 1982
"453" 543 1 14 3 20 6 42 11 1 1982
"454" 544 2 19 5 23 4 15 0 0 1982
"455" 545 2 19 12 18 5 6 0 0 1982
"456" 546 2 33 6 7 5 6 0 0 1982
"457" 547 2 24 3 16 5 7 0 0 1982
"458" 548 2 28 6 27 5 7 0 0 1982
"459" 549 1 19 8 1 5 6 0 0 1982
"460" 550 1 31 10 13 6 42 0 0 1982
"461" 551 2 25 11 31 5 6 0 0 1982
"462" 552 2 22 5 30 11 20 11 1 1982
"463" 553 2 27 2 25 5 6 11 1 1982
"464" 554 1 20 7 27 10 36 0 0 1982
"465" 555 2 24 5 21 12 39 0 0 1982
"466" 557 1 23 3 31 5 7 24 1 1982
"467" 558 2 17 6 13 5 7 17 1 1982
"468" 559 1 23 8 21 6 42 11 1 1982
"469" 560 1 30 1 26 4 15 17 1 1982
"470" 561 1 21 3 20 5 6 0 0 1982
"471" 563 1 18 12 7 4 15 0 0 1982
"472" 564 2 20 8 1 4 15 0 0 1982
"473" 565 1 27 10 25 4 15 0 0 1982
"474" 566 1 28 4 29 4 15 0 0 1982
"475" 567 2 28 7 16 12 39 0 0 1982
"476" 568 2 17 12 8 7 39 11 1 1982
"477" 570 1 26 2 10 12 39 0 0 1982
"478" 572 1 28 5 21 5 6 0 0 1982
"479" 573 2 12 12 4 5 6 0 0 1982
"480" 575 2 18 5 4 5 6 0 0 1982
"481" 576 1 17 6 28 10 17 11 1 1982
"482" 577 2 18 12 23 12 39 15 1 1982
"483" 578 1 18 9 27 10 36 0 0 1982
"484" 579 1 22 9 23 1 14 11 1 1982
"485" 580 1 26 9 12 7 40 0 0 1982
"486" 581 2 25 1 31 6 9 0 0 1982
"487" 582 2 23 6 13 11 22 0 0 1982
"488" 583 2 28 7 16 10 36 0 0 1982
"489" 584 2 16 4 10 10 36 15 1 1982
"490" 585 2 19 5 29 10 36 0 0 1982
"491" 586 2 31 10 15 11 22 0 0 1982
"492" 587 1 23 11 11 0 39 19 1 1982
"493" 588 1 18 3 7 7 39 0 0 1982
"494" 589 2 32 6 14 11 22 0 0 1982
"495" 590 1 22 5 30 10 36 11 1 1982
"496" 591 1 19 8 1 11 20 0 0 1982
"497" 592 2 25 3 5 12 39 11 1 1982
"498" 593 2 30 3 16 11 43 0 0 1982
"499" 594 1 24 7 28 11 43 0 0 1982
"500" 595 1 25 7 11 11 43 0 0 1982
